timestamp,stake_mult,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_total,entered_all,bank
2026-01-22 13:00:00+00:00,1.0,0.5173657536506653,0.5136748552322388,0.525666356086731,0.4826342463493347,0.4863251447677612,0.474333643913269,-1,-1,-1,1,1,1,-150.0,1,124802.875
2026-01-22 14:00:00+00:00,1.0,0.5129430890083313,0.509296715259552,0.5211178660392761,0.4870569109916687,0.490703284740448,0.4788821339607239,-1,-1,1,0,1,1,-5.75,0,124797.125
2026-01-22 15:00:00+00:00,1.0,0.5078610777854919,0.513587236404419,0.5095378756523132,0.492138922214508,0.486412763595581,0.4904621243476867,1,1,1,0,1,1,88.5,0,124885.625
2026-01-22 16:00:00+00:00,1.0,0.509880781173706,0.5035518407821655,0.499309778213501,0.4901192188262939,0.4964481592178345,0.500690221786499,1,1,1,0,0,0,0.0,0,124885.625
2026-01-22 17:00:00+00:00,1.0,0.4927023351192474,0.5006547570228577,0.5026971697807312,0.5072976350784302,0.4993452429771423,0.4973028302192688,-1,-1,-1,0,0,0,0.0,0,124885.625
2026-01-22 18:00:00+00:00,1.0,0.5159092545509338,0.5060100555419922,0.5244950652122498,0.4840907454490661,0.4939899444580078,0.4755049347877502,1,1,1,0,0,1,44.25,0,124929.875
2026-01-22 19:00:00+00:00,1.0,0.4963585138320923,0.4874171018600464,0.5020853281021118,0.5036414861679077,0.5125828981399536,0.4979146718978882,-1,-1,-1,0,-1,0,44.25,0,124974.125
2026-01-22 20:00:00+00:00,1.0,0.5136135816574097,0.505034863948822,0.5141642093658447,0.4863864183425903,0.494965136051178,0.4858357906341553,-1,1,1,0,0,1,44.25,0,125018.375
2026-01-22 21:00:00+00:00,1.0,0.5064867734909058,0.5089756846427917,0.4944252669811249,0.4935132265090942,0.4910243153572082,0.5055747032165527,1,-1,1,0,1,0,-50.0,0,124968.375
2026-01-22 22:00:00+00:00,1.0,0.5042166709899902,0.4924535751342773,0.4973158836364746,0.4957833290100097,0.5075464248657227,0.5026841163635254,1,-1,1,0,0,0,0.0,0,124968.375
2026-01-22 23:00:00+00:00,1.0,0.4802519977092743,0.49502694606781,0.5098263621330261,0.5197479724884033,0.5049730539321899,0.4901736378669739,-1,-1,1,-1,0,1,88.5,0,125056.875
2026-01-23 00:00:00+00:00,1.0,0.4912384152412414,0.5090881586074829,0.4973158836364746,0.5087615847587585,0.4909118413925171,0.5026841163635254,1,1,1,0,1,0,44.25,0,125101.125
2026-01-23 01:00:00+00:00,1.0,0.4925293326377868,0.5008929967880249,0.4871469438076019,0.5074706673622131,0.4991070032119751,0.5128530263900757,-1,-1,-1,0,0,-1,44.25,0,125145.375
2026-01-23 02:00:00+00:00,1.0,0.5064370036125183,0.5142656564712524,0.5160865187644958,0.4935629963874817,0.4857343435287475,0.4839134812355041,1,1,1,0,1,1,88.5,0,125233.875
2026-01-23 03:00:00+00:00,1.0,0.4719178676605224,0.5093139410018921,0.4943698346614837,0.5280821323394775,0.4906860589981079,0.5056301355361938,1,1,1,-1,1,0,-5.75,0,125228.125
